Type of Hop Plant,State,2018 Area Harvested,2018 Yield Per Acre lbs,2018 Production,2018 Gross Profit,2018 Price Per Pound,2019 Area Harvested,2019 Yield Per Acre ,2019 Production,2019 Gross Profit,2019 Price Per Pound,2020 Area Harvested,2020 Yield Per Acre ,2020 Production,2020 Gross Profit,2020 Price Per Pound
"Citra R, HBC 394",Washington,4837,1611,7792.4,8860.5,5.5,6720,1424,9569.3,8259.2,5.8,8143,1526,12426.2,9156,6
Cluster,Washington,610,1813,1105.9,9971.5,5.5,470,1815,853.1,10527,5.8,413,2065,852.8,12390,6
Comet,Washington,218,1750,381.5,9625,5.5,210,1311,275.3,7603.8,5.8,330,872,287.8,5232,6
Crystal,Washington,114,2357,268.7,12963.5,5.5,66,1989,131.3,11536.2,5.8,,,,0,
"Ekuanot R, HBC 366",Washington,865,2583,2234.3,14206.5,5.5,632,2483,1569.3,14401.4,5.8,641,2158,1383.3,12948,6
El Dorado R,Washington,418,1880,785.8,10340,5.5,641,2032,1302.5,11785.6,5.8,1058,1516,1603.9,9096,6
Eureka! TM,Washington,409,2954,1208.2,16247,5.5,425,3188,1354.9,18490.4,5.8,465,2332,1084.4,13992,6
Experimental,Washington,374,1889,706.5,10389.5,5.5,360,2251,810.4,13055.8,5.8,453,1207,546.8,7242,6
Galena,Washington,390,2149,838.1,11819.5,5.5,297,2045,607.4,11861,5.8,241,1838,443,11028,6
Idaho 7 TM,Washington,,,,0,,85,1544,131.2,8955.2,5.8,341,1736,592,10416,6
"Jarrylo R, ADHA-881",Washington,,,,0,,,,,0,,17,1428,24.3,8568,6
"Loral R, HBC 291",Washington,172,2349,404,12919.5,5.5,125,2515,314.4,14587,5.8,164,1874,307.3,11244,6
"Mosaic R, HBC 369",Washington,1932,2351,4542.1,12930.5,5.5,2829,2054,5810.8,11913.2,5.8,3715,1998,7422.6,11988,6
Mt. Hood,Washington,104,1454,151.2,7997,5.5,53,1037,55,6014.6,5.8,48,1139,54.7,6834,6
Mt. Rainier,Washington,306,1899,581.1,10444.5,5.5,239,2149,513.6,12464.2,5.8,223,1586,353.7,9516,6
Nugget,Washington,126,1498,188.7,8239,5.5,104,2313,240.6,13415.4,5.8,,,,0,6
"Pahto TM, HBC 682",Washington,1721,2087,3591.7,11478.5,5.5,2109,2398,5057.4,13908.4,5.8,2208,2019,4458,12114,6
"Palisade R, YCR 4",Washington,515,2441,1257.1,13425.5,5.5,477,2520,1202,14616,5.8,246,2114,520,12684,6
"Pekko R, ADHA-871",Washington,92,1889,173.8,10389.5,5.5,,,,0,,801,1239,992.4,7434,6
"Sabro TM , HBC 438",Washington,,,,0,5.5,724,1612,1167.1,9349.6,5.8,1145,1886,2159.5,11316,6
"Simcoe R, YCR 14",Washington,3103,1642,5095.1,9031,5.5,3367,1788,6020.2,10370.4,5.8,3214,1643,5280.6,9858,6
Sorachi Ace,Washington,146,1042,152.1,5731,5.5,,,,0,5.8,,,,0,
Summit TM,Washington,1574,1826,2874.1,10043,5.5,1072,1816,1946.8,10532.8,5.8,640,1096,701.4,6576,6
Super Galena TM,Washington,500,3133,1566.5,17231.5,5.5,473,2871,1358,16651.8,5.8,475,2636,1252.1,15816,6
Tahoma,Washington,209,2147,448.7,11808.5,5.5,230,1958,450.3,11356.4,5.8,177,1588,281.1,9528,6
Warrior YCR 5,Washington,,,,0,,,,,0,,283,1669,472.3,10014,6
Willamette,Washington,376,1348,506.8,7414,5.5,270,1596,430.9,9256.8,5.8,203,1458,296,8748,6
Zeus 1/,Washington,2592,2619,6788.4,14404.5,5.5,2612,2620,6843.4,15196,5.8,,,,0,
