,,,,,,,,,,
Type of Hop Plant,State,2018 Area Harvested,2019 Area Harvested,2020 Area Harvested,2018 Yield Per Acre ,2019 Yield Per Acre ,2020 Yield Per Acre ,2018 Production,2019 Production,2020 Production
Other varieties 2/,Washington,1584,1937,1546,1896,1888,1737,3002.6,3656.7,2685.4
"Pahto TM, HBC 682",Washington,1721,2109,2208,2087,2398,2019,3591.7,5057.4,4458
"Palisade R, YCR 4",Washington,515,477,246,2441,2520,2114,1257.1,1202,520
"Pekko R, ADHA-871",Washington,92,(D),801,1889,(D),1239,173.8,(D),992.4
"Sabro TM , HBC 438",Washington,(NA),724,1145,(NA),1612,1886,(NA),1167.1,2159.5
"Simcoe R, YCR 14",Washington,3103,3367,3214,1642,1788,1643,5095.1,6020.2,5280.6
Sorachi Ace,Washington,146,(D),(D),1042,(D),(D),152.1,(D),(D)
Summit TM,Washington,1574,1072,640,1826,1816,1096,2874.1,1946.8,701.4
Super Galena TM,Washington,500,473,475,3133,2871,2636,1566.5,1358,1252.1
Tahoma,Washington,209,230,177,2147,1958,1588,448.7,450.3,281.1
Warrior YCR 5,Washington,(D),(D),283,(D),(D),1669,(D),(D),472.3
Willamette,Washington,376,270,203,1348,1596,1458,506.8,430.9,296
Zeus 1/,Washington,2592,2612,(NA),2619,2620,(NA),6788.4,6843.4,(NA)
